Title,Author,Publisher,Date,Category,,,
A Breath of Snow and Ashes,Diana Gabaldon,Delacorte,10/16/2005,Fiction,,,
A Common Life,Jan Karon,Viking,4/29/2001,Fiction,,,
A Dance With Dragons,George R. R. Martin,Bantam,7/31/2011,Non Fiction,,,
A Day Late and a Dollar Short,Terry McMillan,Viking,2/4/2001,Fiction,,,
A Feast For Crows,George R. R. Martin,Bantam,11/27/2005,Fiction,,,
A Lion Is In the Streets,Adria Locke Langley,McGraw,7/1/1945,Non Fiction,,,
A Man In Full,Tom Wolfe,Farrar,11/22/1998,Fiction,,,
A Painted House,John Grisham,Doubleday,2/25/2001,Non Fiction,,,
A Perfect Spy,John le Carre,Knopf,5/4/1986,Fiction,,,
A Rage to Live,John O'Hara,Random House,9/18/1949,Fiction,,,
A Shade of Difference,Allen Drury,Doubleday,10/28/1962,Non Fiction,,,
A Thousand Splendid Suns,Khaled Hosseini,Riverhead,6/10/2007,Fiction,,,
A Tree Grows In Brooklyn,Betty Smith,Harper,1/2/1944,Fiction,,,
A Widow For One Year,John Irving,Random House,6/14/1998,Non Fiction,,,
Accident,Danielle Steel,Delacorte,2/27/1994,Fiction,,,
Acheron,Sherrilyn Kenyon,St. Martin's,8/24/2008,Non Fiction,,,
Across the River and Into the Trees,Ernest Hemingway,Scribner's,10/15/1950,Fiction,,,
Advise and Consent,Allen Drury,Doubleday,10/4/1959,Non Fiction,,,
Against All Enemies,Tom Clancy,Putnam,7/3/2011,Non Fiction,,,
Airframe,Michael Crichton,Knopf,12/29/1996,Fiction,,,
Airport,Arthur Hailey,Doubleday,4/7/1968,Non Fiction,,,
Alaska,James Michener,Random House,7/3/1988,Fiction,,,
Alex Cross's Trial,James Patterson,Brown,9/13/2009,Non Fiction,,,
American Assassin,Vince Flynn,Atria,10/31/2010,Fiction,,,
An Indecent Obsession,Colleen McCullough,Harper,11/15/1981,Fiction,,,
Anansi Boys,Neil Gaiman,Morrow,10/9/2005,Fiction,,,
Anathem,Neal Stephenson,William Morrow,9/28/2008,Fiction,,,
Anatomy of a Murder,Robert Traver,St. Martin's,3/9/1958,Non Fiction,,,
And Now Tomorrow,Rachel Field,MacMillan,8/9/1942,Non Fiction,,,
Andersonville,McKinley Kantor,World Publishing,1/1/1956,Fiction,,,
Angels Fall,Nora Roberts,Putnam,7/30/2006,Fiction,,,
Answered Prayers,Danielle Steel,Delacorte,11/17/2002,Fiction,,,
Arch of Triumph,Erich Maria Remarque,Appleton-Century,3/10/1946,Fiction,,,
Armageddon,Tim LaHaye,Tyndale,4/27/2003,Fiction,,,
At First Sight,Nicholas Sparks,Warner,11/6/2005,Non Fiction,,,
At Risk,Patricia Cornwell,Putnam,6/11/2006,Non Fiction,,,
Auntie Mame,Patrick Dennis,Vanguard,8/28/1955,Non Fiction,,,
Bad Moon Rising,Sherrilyn Kenyon,St. Martin's,8/23/2009,Non Fiction,,,
Bag of Bones,Stephen King,Scribner,10/11/1998,Non Fiction,,,
Beach Music,Pat Conroy,Talese/Doubleday,7/16/1995,Fiction,,,
Before I Say Goodbye,Mary Higgins Clark,Simon & Schuster,5/7/2000,Fiction,,,
Best Friends Forever,Jennifer Weiner,Atria,8/2/2009,Fiction,,,
Birthright,Nora Roberts,Putnam,4/20/2003,Fiction,,,
Bittersweet,Danielle Steel,Delacorte,4/25/1999,Fiction,,,
Black Hills,Nora Roberts,Putnam,7/26/2009,Fiction,,,
Blow Fly,Patricia Cornwell,Putnam,11/2/2003,Fiction,,,
Bonjour Tristesse,Francoise Sagan,Dutton,5/22/1955,Fiction,,,
Book of the Dead,Patricia Cornwell,Putnam,11/11/2007,Fiction,,,
Breakfast of Champions,Kurt Vonnegut,Delacorte,7/1/1973,Fiction,,,
Burr,Gore Vidal,Random House,12/9/1973,Fiction,,,
By Love Possessed,James Gould Cozzens,Harcourt,9/22/1957,Fiction,,,
1,Fiction,,,,,,
Flood Tide,Clive Cussler,Simon & Schuster,10/12/1997,Fiction,,,
For One More Day,Mitch Albom,Hyperion,10/15/2006,Fiction,,,
Ford County,John Grisham,Doubleday,11/22/2009,Fiction,,,
Forever Amber,Kathleen Winsor,MacMillan,11/14/1944,Fiction,,,
Hold Tight,Harlan Coben,Dutton,5/4/2008,Fiction,,,
Hornet's Nest,Patricia Cornwell,Putnam,2/2/1997,Fiction,,,
Hot Six,Janet Evanovich,St. Martin's,7/9/2000,Fiction,,,
Hour Game,David Baldacci,Warner,11/14/2004,Fiction,,,
House Divided,Ben Ames Williams,Houghton Mifflin,11/9/1947,Fiction,,,
House Rules,Jodi Picoult,Atria,3/21/2010,Fiction,,,
How Stella Got Her Groove Back,Terry McMillan,Viking,5/19/1996,Fiction,,,
I Heard That Song Before,Mary Higgins Clark,Simon & Schuster,4/22/2007,Fiction,,,
I Know This Much Is True,Wally Lamb,Regan Books/HarperCollins,7/5/1998,Fiction,,,
If Tomorrow Comes,Sidney Sheldon,Morrow,2/3/1985,Fiction,,,
I'll Take Manhattan,Judith Krantz,Crown,6/8/1986,Fiction,,,
In This Mountain,Jan Karon,Viking,6/16/2002,Fiction,,,
Indwelling,Tim LaHaye,Tyndale,6/11/2000,Fiction,,,
Innocent In Death,J.D. Robb,Putnam,3/11/2007,Fiction,,,
Insomnia,Stephen King,Viking,10/23/1994,Fiction,,,
Intensity,Dean R. Koontz,Knopf,1/28/1996,Non Fiction,,,
Isle of Dogs,Patricia Cornwell,Putnam,10/28/2001,Non Fiction,,,
It,Stephen King,Viking,9/14/1986,Non Fiction,,,
Jailbird,Kurt Vonnegut,Delacorte,10/7/1979,Non Fiction,,,
Jewels,Danielle Steel,Delacorte,5/17/1992,Fiction,,,
Johnny Angel,Danielle Steel,Delacorte,7/20/2003,Fiction,,,
Lake Wobegon Days,Garrison Keillor,Viking,9/15/1985,Fiction,,,
Last of the Breed,Louis L'Amour,Bantam,6/22/1986,Fiction,,,
Lean Mean Thirteen,Janet Evanovich,St. Martin's,7/8/2007,Fiction,,,
Leap of Faith,Danielle Steel,Delacorte,7/15/2001,Fiction,,,
Lie Down with Lions,Ken Follett,Morrow,2/16/1986,Non Fiction,,,
Lisey's Story,Stephen King,Scribner,11/12/2006,Fiction,,,
Live Wire,Harlan Coben,Dutton,4/10/2011,Fiction,,,
Lolita,Vladimir Nakobov,Putnam,9/28/1958,Non Fiction,,,
